ID,MNAIS,AGEXACTM,DEPDOM,AGEXACTP,count
1195,1,26,99,34,5
1198,1,27,99,25,2
1199,1,28,99,39,3
1200,1,31,99,42,2
1203,2,31,99,44,4
1208,2,26,99,35,2
1213,2,40,99,38,3
1215,2,38,99,39,5
1216,2,34,99,32,5
1217,2,32,99,24,1
1220,2,38,99,36,5
1221,2,36,99,42,4
1222,2,39,99,44,4
1237,3,26,99,41,1
1239,3,25,99,33,5
1250,4,30,99,40,2
1252,4,43,99,32,1
1258,4,25,99,28,4
1259,4,25,99,24,1
1261,4,24,99,33,2
1263,4,25,99,37,3
1264,4,30,99,38,1
1266,5,36,99,39,4
1268,5,37,99,44,5
1270,5,28,99,36,5
1271,5,25,99,46,4
1277,5,25,99,29,2
1280,5,29,99,37,3
1281,5,39,99,36,2
1282,5,40,99,38,3
1283,5,24,99,41,2
1284,5,32,99,41,3
1289,6,39,99,44,4
1291,6,35,99,28,3
1293,6,27,99,35,4
1296,6,28,99,38,4
1299,6,28,99,36,5
1304,6,40,99,39,2
1308,7,39,99,39,3
1320,7,38,99,34,2
1322,8,39,99,29,1
1324,8,31,99,45,3
1328,8,32,99,44,4
1329,8,38,99,43,4
1330,8,43,99,43,2
1332,8,35,99,43,5
1333,8,34,99,40,4
1335,8,20,99,37,1
1336,8,40,99,31,1
1339,9,29,99,45,1
1340,8,30,99,44,2
1341,9,42,99,42,3
1343,8,40,99,41,5
1347,9,27,99,40,1
1351,9,32,99,30,5
1355,9,23,99,36,2
1357,9,34,99,44,5
1360,9,22,99,29,2
1361,9,37,99,32,1
1365,10,40,99,39,2
1366,10,28,99,38,4
1371,10,36,99,39,4
1382,11,29,99,37,3
1391,11,35,99,45,4
1394,11,24,99,28,4
1399,12,41,99,40,2
1401,11,18,99,23,3
1411,12,23,99,36,2
1412,12,43,99,42,1
1415,12,41,99,33,2
1416,12,41,99,33,2
1418,12,38,99,45,2
1419,12,39,99,38,4
1423,2,32,99,25,1
1424,3,35,99,45,4
1438,11,32,99,41,3
1441,5,23,99,40,1
1442,6,33,99,31,3
1449,2,29,99,37,3
1450,5,32,99,27,2
1459,5,22,99,24,1
1467,7,25,99,33,5
1469,3,23,99,27,2
1472,5,33,99,43,3
1476,12,36,99,41,4
1477,12,36,99,41,4
1478,3,24,99,33,2
1484,10,29,99,24,2
1487,5,30,99,28,1
1491,2,22,99,30,3
1492,6,36,99,42,4
1494,9,39,99,42,5
1495,4,30,99,37,5
1498,8,29,99,25,1
1500,1,36,99,42,4
1501,4,23,99,46,1
1507,8,45,99,44,3
1509,7,39,99,38,4
1513,7,25,99,33,5
1518,4,40,99,33,2
1527,10,28,99,41,3
1534,9,35,99,43,5
1539,3,41,99,42,2
1540,7,26,99,32,3
1542,3,39,99,42,5
1547,10,39,99,37,2
1550,9,35,99,33,5
1554,2,45,99,46,2
1555,11,39,99,44,4
1556,10,27,99,41,5
1558,6,23,99,23,1
1559,3,30,99,37,5
1561,11,26,99,30,4
1566,8,36,99,35,5
1567,9,26,99,43,3
1570,11,24,99,29,3
1571,2,33,99,41,5
1572,6,34,99,44,5
1575,10,39,99,45,2
1577,7,42,99,41,2
1581,1,24,99,23,2
1584,2,23,99,35,1
1587,3,37,99,39,5
1588,4,40,99,37,3
1590,6,25,99,46,4
1591,7,26,99,39,2
1592,7,26,99,39,2
1595,12,34,99,40,4
1596,6,25,99,43,1
1599,4,46,99,46,2
1601,9,35,99,33,5
1603,12,35,99,45,4
1604,2,24,99,36,1
1612,5,25,99,38,1
1615,7,34,99,40,4
1619,1,27,99,25,2
1621,1,41,99,38,1
1622,2,45,99,44,3
1623,2,30,99,37,5
1624,2,45,99,44,3
1625,2,29,99,35,5
1628,3,36,99,42,4
1635,5,38,99,36,5
1641,5,31,99,43,4
1645,6,29,99,34,5
1648,7,30,99,45,3
1650,7,37,99,39,5
1653,8,24,99,26,3
1654,8,32,99,30,5
1655,8,37,99,45,4
1660,10,39,99,38,4
1664,10,35,99,30,2
1665,11,38,99,39,5
1669,11,38,99,39,5
1671,12,27,99,46,1
1672,7,39,99,40,4
1681,9,28,99,26,2
1682,11,31,99,41,3
1688,5,23,99,37,2
1701,12,31,99,43,4
1710,8,29,99,35,5
1712,10,27,99,44,2
1716,8,38,99,32,1
1718,2,24,99,39,2
1722,6,26,99,34,5
1725,10,28,99,44,1
1726,10,33,99,41,5
1728,3,29,99,27,2
1729,1,37,99,39,5
1730,4,22,99,34,2
1733,9,21,99,22,1
1734,1,26,99,33,3
1735,1,22,99,33,2
1736,1,37,99,35,2
1738,2,18,99,23,3
1740,2,25,99,37,3
1744,5,37,99,44,5
1747,7,28,99,36,5
1751,8,24,99,34,2
1755,10,43,99,46,2
1758,12,29,99,43,3
1760,4,31,99,42,2
1761,5,42,99,44,5
1762,11,19,99,24,3
1773,8,23,99,30,2
1779,11,24,99,26,3
1786,6,40,99,41,5
1792,5,33,99,37,3
1795,1,28,99,36,5
1798,2,36,99,41,4
1799,2,31,99,43,4
1800,3,43,99,46,2
1802,4,24,99,34,2
1803,5,42,99,42,3
1805,7,33,99,37,3
1811,9,34,99,45,2
1812,12,27,99,35,4
1817,11,35,99,42,5
1818,12,43,99,44,1
1820,4,33,99,39,4
1824,7,30,99,37,5
1828,2,32,99,44,4
1832,10,26,99,32,3
1835,1,36,99,39,4
1837,9,38,99,40,5
1840,4,21,99,25,1
1841,5,30,99,43,2
1843,6,31,99,44,4
1847,10,23,99,26,1
1849,5,25,99,35,1
1852,10,26,99,30,4
1855,1,17,99,23,2
1857,7,17,99,21,2
1858,10,21,99,32,1
1860,3,29,99,43,3
